                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0978,                 0.8192,                 1.2637,                0.87106,                0.78771,                   0.88,                0.53577,                 1.0758,                 1.2434,                 1.2551,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0654,                0.78784,                 1.2385,                0.85627,                0.78458,                0.87418,                0.53921,                 1.0873,                 0.9143,                 1.2613,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0446,                0.77942,                 1.2242,                0.87631,                0.77007,                0.87425,                0.53287,                 1.0847,                 1.0397,                 1.2634,               0.000614,               0.000614,               0.000614
                     38,                 1.0605,                 0.7933,                 1.2329,                0.86003,                0.80143,                0.87556,                0.53338,                  1.074,                0.79147,                 1.2467,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0356,                0.74831,                 1.2166,                0.87363,                0.79842,                0.87405,                0.53592,                   1.07,                0.91485,                 1.2585,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0258,                0.73698,                  1.219,                0.82709,                0.79447,                0.86028,                0.53137,                 1.0744,                0.86833,                 1.2551,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.9601,                0.63575,                  1.209,                0.87769,                0.78854,                0.86983,                0.54067,                 1.0519,                0.82712,                 1.2256,              0.0004556,              0.0004556,              0.0004556
                     42,                0.93467,                0.60327,                 1.1995,                0.89437,                0.77668,                0.86562,                0.53465,                 1.0618,                0.76613,                 1.2296,               0.000416,               0.000416,               0.000416
                     43,                0.92435,                0.59344,                  1.197,                0.89437,                0.76976,                0.86882,                0.53749,                 1.0349,                0.70219,                 1.2162,              0.0003764,              0.0003764,              0.0003764
                     44,                0.89044,                 0.5696,                 1.1631,                0.86519,                0.82443,                 0.8779,                 0.5421,                 1.0343,                0.65571,                 1.2191,              0.0003368,              0.0003368,              0.0003368
                     45,                0.88584,                0.56314,                 1.1576,                0.86494,                0.79842,                0.87481,                 0.5475,                 1.0329,                0.75698,                 1.2053,              0.0002972,              0.0002972,              0.0002972
                     46,                0.86253,                0.54752,                 1.1504,                0.88675,                0.77372,                0.87661,                0.54579,                  1.024,                0.68921,                 1.1982,              0.0002576,              0.0002576,              0.0002576
                     47,                0.85135,                0.53864,                 1.1392,                0.89314,                0.79282,                0.87938,                0.54458,                 1.0168,                0.76196,                 1.2062,               0.000218,               0.000218,               0.000218
                     48,                0.83975,                0.52371,                 1.1267,                0.89462,                0.78853,                0.87309,                0.54474,                  1.022,                0.69524,                 1.2168,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.8334,                 0.5121,                  1.116,                0.87916,                 0.8004,                 0.8708,                0.54931,                 1.0175,                0.63794,                 1.2096,              0.0001388,              0.0001388,              0.0001388
                     50,                0.82414,                0.51816,                 1.1098,                0.88576,                0.79682,                0.87698,                0.55177,                 1.0105,                0.62595,                  1.207,               9.92e-05,               9.92e-05,               9.92e-05
